file,sheet,column,method,total,converted,failed
天诚21年取得发票全量发票查询导出结果 (53).xlsx,信息汇总表,开票日期,pd.to_datetime,42,42,0
天诚21年取得发票全量发票查询导出结果 (53).xlsx,信息汇总表,金额,numeric_parse,42,42,0
天诚21年取得发票全量发票查询导出结果 (53).xlsx,信息汇总表,税额,numeric_parse,42,42,0
天诚21年取得发票全量发票查询导出结果 (53).xlsx,信息汇总表,单价,numeric_parse,42,33,9
天诚21年取得发票全量发票查询导出结果 (53).xlsx,信息汇总表,数量,numeric_parse,42,32,10
天诚21年取得发票全量发票查询导出结果 (53).xlsx,信息汇总表,价税合计,numeric_parse,42,42,0
天诚21年取得发票全量发票查询导出结果 (53).xlsx,信息汇总表,税率_数值,map_tax_text_to_zero,42,13,0
天诚21年取得发票全量发票查询导出结果 (53).xlsx,信息汇总表,税率_数值,tax_parse,42,29,0
天诚21年取得发票全量发票查询导出结果 (53).xlsx,信息汇总表,税率,tax_text_tokens,42,13,0
天诚21年取得发票全量发票查询导出结果 (53).xlsx,发票基础信息,开票日期,pd.to_datetime,36,35,1
天诚21年取得发票全量发票查询导出结果 (53).xlsx,发票基础信息,金额,numeric_parse,36,36,0
天诚21年取得发票全量发票查询导出结果 (53).xlsx,发票基础信息,税额,numeric_parse,36,36,0
天诚21年取得发票全量发票查询导出结果 (53).xlsx,发票基础信息,价税合计,numeric_parse,36,35,1
天诚22年取得发票全量发票查询导出结果 (52).xlsx,信息汇总表,开票日期,pd.to_datetime,249,249,0
天诚22年取得发票全量发票查询导出结果 (52).xlsx,信息汇总表,金额,numeric_parse,249,249,0
天诚22年取得发票全量发票查询导出结果 (52).xlsx,信息汇总表,税额,numeric_parse,249,249,0
天诚22年取得发票全量发票查询导出结果 (52).xlsx,信息汇总表,单价,numeric_parse,249,225,24
天诚22年取得发票全量发票查询导出结果 (52).xlsx,信息汇总表,数量,numeric_parse,249,225,24
天诚22年取得发票全量发票查询导出结果 (52).xlsx,信息汇总表,价税合计,numeric_parse,249,249,0
